Trees,Fires,Fire Chance
50.03,0.0,5
51.81,2.95,5
49.09,6.11,5
44.53,8.28,5
39.68,9.88,5
36.15,10.03,5
34.18,9.64,5
33.22,8.82,5
33.32,8.2,5
34.39,7.41,5
36.11,7.27,5
37.11,7.21,5
36.62,7.74,5
35.79,8.16,5
35.78,8.11,5
35.82,7.84,5
35.7,7.75,5
36.61,7.74,5
36.41,7.75,5
36.22,7.95,5
35.71,7.85,5
35.24,8.21,5
34.52,8.5,5
34.01,8.49,5
33.65,8.03,5
34.64,7.57,5
36.34,7.08,5
36.88,7.82,5
36.49,8.04,5
36.6,7.75,5
35.96,7.82,5
35.96,7.64,5
36.42,7.56,5
36.09,7.72,5
36.49,7.46,5
36.25,7.28,5
36.97,7.14,5
37.46,7.36,5
36.73,7.8,5
36.68,8.14,5
36.28,8.38,5
35.87,7.95,5
35.71,8.15,5
34.75,8.08,5
34.06,7.98,5
34.72,7.8,5
35.13,7.53,5
36.04,7.57,5
35.85,7.5,5
35.6,7.67,5
36.4,7.32,5
36.17,7.72,5
36.24,7.62,5
36.18,7.43,5
35.91,7.37,5
36.53,7.39,5
36.6,7.81,5
35.89,8.31,5
35.93,7.91,5
36.22,7.82,5
36.45,7.87,5
36.54,7.75,5
36.45,7.56,5
36.0,7.89,5
36.49,7.94,5
35.74,8.4,5
34.76,8.08,5
34.91,7.91,5
34.98,7.68,5
34.91,7.7,5
35.79,7.49,5
36.41,7.59,5
37.04,7.51,5
36.31,7.86,5
36.48,7.86,5
36.41,7.6,5
36.47,7.72,5
36.28,7.6,5
35.95,7.92,5
36.87,7.6,5
36.42,7.82,5
35.56,7.93,5
36.32,7.25,5
36.93,7.58,5
36.85,7.91,5
36.55,8.01,5
36.07,8.09,5
36.19,7.98,5
35.66,7.9,5
35.52,7.46,5
35.94,7.59,5
36.3,7.78,5
36.25,7.78,5
35.66,7.71,5
36.62,7.15,5
36.52,7.56,5
35.64,7.57,5
35.79,7.54,5
35.82,7.47,5
36.18,7.45,5
36.59,7.49,5
36.77,7.39,5
35.92,7.46,5
36.02,7.46,5
36.21,7.71,5
36.02,7.52,5
36.24,7.57,5
36.53,7.72,5
35.94,8.15,5
34.99,8.06,5
35.27,7.71,5
35.35,7.14,5
36.62,7.4,5
36.85,8.05,5
35.43,8.38,5
34.85,8.1,5
34.98,7.8,5
35.5,7.78,5
35.7,7.76,5
36.68,7.21,5
37.31,7.39,5
37.16,7.77,5
36.49,8.1,5
35.48,8.3,5
35.61,7.82,5
35.08,7.83,5
34.77,7.83,5
34.91,7.81,5
35.13,7.38,5
35.88,7.63,5
35.74,7.77,5
35.58,7.99,5
35.26,7.85,5
35.71,7.9,5
35.68,8.04,5
35.96,8.07,5
35.93,7.7,5
36.47,7.65,5
36.28,7.56,5
35.84,7.85,5
36.18,7.79,5
35.81,7.83,5
35.73,7.81,5
36.0,7.82,5
35.59,7.71,5
35.43,7.47,5
36.34,7.34,5
36.71,7.51,5
35.94,7.96,5
35.61,7.79,5
35.19,8.0,5
34.75,7.84,5
35.12,7.65,5
35.92,7.28,5
36.68,7.26,5
37.14,7.7,5
37.1,7.79,5
36.52,7.72,5
36.71,7.92,5
35.43,8.42,5
35.2,8.58,5
35.0,8.01,5
35.1,8.05,5
35.42,7.7,5
35.63,7.49,5
36.41,7.58,5
36.44,7.66,5
36.65,7.51,5
36.41,8.12,5
35.89,8.02,5
36.03,7.26,5
36.94,7.4,5
36.52,8.01,5
36.13,8.13,5
34.92,8.06,5
35.54,7.73,5
35.68,7.8,5
36.1,7.43,5
36.13,7.64,5
35.83,7.8,5
35.56,7.99,5
35.21,7.68,5
35.16,7.52,5
35.38,7.15,5
36.52,7.31,5
37.28,7.38,5
37.07,8.01,5
37.16,7.82,5
35.99,8.06,5
35.43,8.13,5
34.81,7.81,5
35.57,7.63,5
35.94,7.36,5
35.87,7.36,5
35.72,7.57,5
36.29,7.46,5
36.28,7.42,5
36.34,7.51,5
36.37,7.52,5
36.0,7.8,5
